,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],odds_ratio
Intercept,0.019667104127276663,0.19876609924175057,0.09894596816208794,0.9211811706396539,-0.36990729173406856,0.4092414999886219,1.0198617757342257
C(creation_source)[T.ORG_INVITE],-0.28702645208249017,0.07473595967307048,-3.8405401273774515,0.00012276390234520205,-0.4335062413917462,-0.14054666277323416,0.7504918765014759
C(creation_source)[T.PERSONAL_PROJECTS],-0.9002351133291173,0.10081121350164365,-8.929910493681733,4.2635360461106985e-19,-1.097821461030117,-0.7026487656281177,0.406474081030734
C(creation_source)[T.SIGNUP],-0.2189332645872839,0.08685036937708263,-2.5208098268037333,0.011708511176014676,-0.38915686061036625,-0.04870966856420156,0.803375329948914
C(creation_source)[T.SIGNUP_GOOGLE_AUTH],-0.024399111692263224,0.09743023139952256,-0.2504264984469983,0.8022575395247078,-0.21535885624073095,0.1665606328562045,0.9758961404621571
C(signup_quarter)[T.2012Q3],-0.06937018877359374,0.15358294425185648,-0.45167898760838615,0.6515002577706114,-0.3703872281468554,0.2316468505996679,0.9329812369626681
C(signup_quarter)[T.2012Q4],-0.11198463145550562,0.15344863649030985,-0.7297857707753392,0.46552114348685336,-0.41273843245329167,0.1887691695422804,0.8940579977648923
C(signup_quarter)[T.2013Q1],-0.177777993239398,0.15279957156105003,-1.1634718044243206,0.24463813135340307,-0.47725965035220674,0.12170366387341078,0.8371282509917349
C(signup_quarter)[T.2013Q2],-0.15130988373620166,0.15204153018009553,-0.995187851352014,0.3196449092924917,-0.4493058070435486,0.14668603957114526,0.8595812871222137
C(signup_quarter)[T.2013Q3],-0.2365304647195941,0.15160791105493845,-1.5601459255901369,0.11872540076846533,-0.5336765101586254,0.06061558071943718,0.7893618342487235
C(signup_quarter)[T.2013Q4],-0.10399174943663093,0.1486596526108466,-0.6995290760490007,0.4842214486264824,-0.39535931450812606,0.18737581563486422,0.9012327330683051
C(signup_quarter)[T.2014Q1],-0.3360728493737176,0.148629947809839,-2.2611381779108064,0.023750701907555734,-0.6273821941050699,-0.04476350464236528,0.714571047866572
C(signup_quarter)[T.2014Q2],-1.9210037602316634,0.19180771407613367,-10.015258090553987,1.3062053334913676e-23,-2.296939971777842,-1.545067548685485,0.1464598777231674
opted_in_to_mailing_list,0.05060117896663955,0.0715587509191465,0.7071277560981089,0.4794870886178557,-0.08965139561356009,0.19085375354683917,1.0519032884586526
enabled_for_marketing_drip,0.00869961050927843,0.08689403943589157,0.10011745990582938,0.9202510739761323,-0.1616095772562722,0.17900879827482905,1.0087375620956258
log_org_size,-0.3874186471663587,0.039281430813520715,-9.862640925824136,6.043842790998688e-23,-0.46440883682206124,-0.3104284575106562,0.6788068548663457
personal_email,0.09983350772404735,0.05936050648251555,1.681816979669016,0.0926043351260397,-0.016510947085739525,0.21617796253383423,1.1049869309708213
